"streetname";"place";"Type"
"Braziliëdreef";"Utrecht";"Road"
"Brederoplein";"Utrecht";"Road"
"Breedstraat";"Utrecht";"Road"
"Breeveen";"Vleuten";"Road"
"Breeveenhof";"Vleuten";"Road"
"Breeveenplaats";"Vleuten";"Road"
"Breitnerlaan";"Utrecht";"Road"
"Bremstraat";"Utrecht";"Road"
"Brennerbaan";"Utrecht";"Road"
"Brennerbrug";"Utrecht";"Art"
"Bretagne";"Utrecht";"Road"
"Brigittenbrug";"Utrecht";"Art"
"Brigittenstraat";"Utrecht";"Road"
"Briljantlaan";"Utrecht";"Road"
"Brink";"Haarzuilens";"Road"
"Brinkstraat";"Haarzuilens";"Road"
"Broeder Alarmstraat";"Utrecht";"Road"
"Broederschaplaan";"Vleuten";"Road"
"Broekhuysendreef";"Utrecht";"Road"
"Broerestraat";"Utrecht";"Road"
"Brouwerstraat";"Utrecht";"Road"
"Brucknerlaan";"Utrecht";"Road"
"Brugsteeg";"Utrecht";"Road"
"Brugstraat";"Utrecht";"Road"
"Bruidsbloemlaan";"Vleuten";"Road"
"Bruisdreef";"Utrecht";"Road"
"Bruntenhof";"Utrecht";"Road"
"Bruntensteeg";"Utrecht";"Road"
"Brusselplein";"Utrecht";"Road"
"Brusselviaduct";"Utrecht";"Art"
"Bucheliusstraat";"Utrecht";"Road"
"Budapestlaan";"Utrecht";"Road"
"Buiten de Burchten";"Vleuten";"Road"
"Bundelzwam";"Vleuten";"Road"
"Bunnikseweg";"Utrecht";"Road"
"Burchtplateau";"Vleuten";"Road"
"Burchtplein";"Vleuten";"Road"
"Burchtpoort";"Vleuten";"Road"
"Burchtpromenade";"Vleuten";"Road"
"Burchtvijver";"Vleuten";"Water"
"Burchtwal";"Vleuten";"Road"
"Burgemeester Fockema Andreaelaan";"Utrecht";"Road"
"Burgemeester Middelweerdbaan";"De Meern";"Road"
"Burgemeester Middelweerdplaats";"De Meern";"Road"
"Burgemeester Norbruislaan";"Utrecht";"Road"
"Burgemeester Norbruispad";"Utrecht";"Road"
"Burgemeester Reigerstraat";"Utrecht";"Road"
"Burgemeester Smitsstraat";"Utrecht";"Road"
"Burgemeester Taets van Amerongenlaan";"De Meern";"Road"
"Burgemeester ter Pelkwijklaan";"Utrecht";"Road"
"Burgemeester Van der Heidelaan";"Vleuten";"Road"
"Burgemeester van der Voort van Zijplaan";"Utrecht";"Road"
"Burgemeester van Tuyllkade";"Utrecht";"Road"
"Burgemeester Verderlaan";"Utrecht";"Road"
"Burgjeslaan";"Utrecht";"Road"
"Burmanstraat";"Utrecht";"Road"
"Burt Bacharachstraat";"Utrecht";"Road"
"Busbaan Langerak";"Utrecht";"Road"
"Busbaan Oudenrijn";"De Meern";"Road"
"Busbaan Papendorp";"Utrecht";"Road"
"Busbaan Parkwijk";"Utrecht";"Road"
"Busbaan Rijnvliet";"De Meern";"Road"
"Busbaan Rijnvliet";"Utrecht";"Road"
"Busbaan Strijkviertel";"Utrecht";"Road"
"Busbaan Veldhuizen";"De Meern";"Road"
"Busbaan Vleuterweide";"Vleuten";"Road"
"Busken Huetstraat";"Utrecht";"Road"
"Butterflydreef";"Utrecht";"Road"
"Buurkerkhof";"Utrecht";"Road"
"Buys Ballotstraat";"Utrecht";"Road"
"Byronstraat";"Utrecht";"Road"
"C. Smeenkstraat";"Utrecht";"Road"
"C. van Maasdijkstraat";"Utrecht";"Road"
"Cabotolaan";"Utrecht";"Road"
"Cabrallaan";"Utrecht";"Road"
"CAB-rondom";"Utrecht";"Road"
"Cacaoweg";"Utrecht";"Road"
"Caesarlaan";"Utrecht";"Road"
"Calderónlaan";"Utrecht";"Road"
"Californiëdreef";"Utrecht";"Road"
"Cambridgelaan";"Utrecht";"Road"
"Camera Obscuradreef";"Utrecht";"Road"
"Camminghaplantsoen";"Utrecht";"Rural area"
"Camminghaplantsoen";"Utrecht";"Road"
"Camphuysenstraat";"Vleuten";"Road"
"Camposdreef";"Utrecht";"Road"
"Campusplein";"Utrecht";"Road"
"Cantharelhof";"Vleuten";"Road"
"Cantharellaan";"Vleuten";"Road"
"Cantharelplaats";"Vleuten";"Road"
